Designator,Mid X,Mid Y,Rotation,Layer
C1,36.9,-52.5375,180.0,top
C2,46.35,-56.5375,0.0,top
C3,45.875,-48.0375,180.0,top
C4,43.85,-45.0375,180.0,top
D1,33.604375,-45.0375,180.0,top
D2,47.85,-43.9375,90.0,top
J1,47.38,-62.9125,90.0,top
J2,20.395,-46.33,180.0,top
J3,37.07,-76.905,270.0,top
J4,37.07,-89.605,270.0,top
Q1,34.1075,-63.61375,90.0,top
Q2,41.57,-56.9975,180.0,top
R1,36.141875,-50.0375,180.0,top
R2,41.35,-53.5375,180.0,top
R3,39.104375,-45.0375,180.0,top
R4,33.641875,-47.5375,180.0,top
R5,43.85,-42.5375,0.0,top
R6,37.66,-56.8975,270.0,top
R7,34.1175,-60.10125,180.0,top
R8,43.3975,-70.0275,180.0,top
R9,41.9875,-67.4675,180.0,top
U1,40.916875,-49.57125,0.0,top
U2,45.85,-52.0375,270.0,top
